Departure Airport,Departure Time,Arrival Airport,Arrival Time,Carrier Code,Flight Number,Price (VND),Duration
DLI,2024-09-15 22:50:00,HAN,2024-09-16 00:40:00,VJ,410,3739000.0,PT1H50M
HAN,2024-09-15 16:00:00,HUI,2024-09-15 17:15:00,VN,6178,4639000.0,PT1H15M
HAN,2024-09-15 19:00:00,HUI,2024-09-15 20:15:00,VN,6180,4639000.0,PT1H15M
HAN,2024-09-15 16:30:00,HUI,2024-09-15 17:50:00,VN,1545,4906000.0,PT1H20M
SGN,2024-09-15 23:00:00,HAN,2024-09-16 01:20:00,VN,270,4906000.0,PT2H20M
HAN,2024-09-16 07:00:00,HUI,2024-09-16 08:15:00,VN,6172,4906000.0,PT1H15M
HAN,2024-09-16 08:00:00,HUI,2024-09-16 09:15:00,VN,6184,4906000.0,PT1H15M
HAN,2024-09-15 09:00:00,HUI,2024-09-15 10:15:00,VN,6174,5118000.0,PT1H15M
HAN,2024-09-15 19:25:00,HUI,2024-09-15 20:40:00,VN,1547,5118000.0,PT1H15M
HAN,2024-09-15 10:00:00,HUI,2024-09-15 11:15:00,VN,6186,5118000.0,PT1H15M
HAN,2024-09-15 12:00:00,HUI,2024-09-15 13:15:00,VN,6176,5118000.0,PT1H15M
DAD,2024-09-15 18:00:00,HAN,2024-09-15 19:20:00,VN,6109,5356000.0,PT1H20M
HAN,2024-09-15 21:00:00,HUI,2024-09-15 22:15:00,VN,6182,5356000.0,PT1H15M
